ticker,date,open,high,low,close,volume
AAPL,2021-03-08,117.79,117.85,113.19,113.33,154376600
AAPL,2021-03-09,115.93,118.89,115.70,117.94,129525800
AAPL,2021-03-10,118.53,118.99,116.34,116.86,111943300
AAPL,2021-03-11,119.35,120.01,118.11,118.79,103026500
AAPL,2021-03-12,117.27,118.02,116.06,117.88,88105100
AAPL,2021-03-15,118.25,120.78,117.29,120.77,92403800
AAPL,2021-03-16,122.43,123.91,121.48,122.30,115227900
AAPL,2021-03-17,120.82,122.59,119.16,121.52,111932600
AAPL,2021-03-18,119.68,119.98,117.19,117.40,121229700
AAPL,2021-03-19,116.78,118.27,116.57,116.87,185549500
AAPL,2021-03-22,117.20,120.65,117.13,120.18,111912300
AAPL,2021-03-23,120.12,121.01,118.96,119.35,95467100
AAPL,2021-03-24,119.63,119.70,116.95,116.97,88530500
AAPL,2021-03-25,116.43,118.50,115.91,117.45,98844700
AAPL,2021-03-26,117.22,118.32,115.83,118.06,94071200
AAPL,2021-03-29,118.49,119.39,117.59,118.23,80819200
AAPL,2021-03-30,116.99,117.27,115.77,116.78,85671900
AAPL,2021-03-31,118.49,120.31,118.00,118.97,118323800
AAPL,2021-04-01,120.44,120.95,119.30,119.80,75089100
AAPL,2021-04-05,120.65,122.88,119.87,122.63,88651200
AAPL,2021-04-06,123.21,123.82,122.38,122.93,80171300
AAPL,2021-04-07,122.56,124.59,121.89,124.57,83466700
AAPL,2021-04-08,125.60,127.00,125.18,126.97,88844600
AAPL,2021-04-09,126.42,129.58,126.10,129.54,106686700
AAPL,2021-04-12,129.07,129.40,127.23,127.83,91420000
AAPL,2021-04-13,129.00,131.16,128.50,130.93,91266500
AAPL,2021-04-14,131.43,131.49,128.24,128.60,87222800
AAPL,2021-04-15,130.34,131.49,130.16,131.00,89347100
AAPL,2021-04-16,130.81,131.17,129.81,130.67,84922400
AAPL,2021-04-19,130.04,131.95,129.87,131.33,94264200
AAPL,2021-04-20,131.51,132.01,128.38,129.65,94812300
AAPL,2021-04-21,128.92,130.27,127.89,130.03,68847100
AAPL,2021-04-22,129.58,130.66,127.99,128.51,84566500
AAPL,2021-04-23,128.72,131.61,128.72,130.83,78657500
AAPL,2021-04-26,131.32,131.55,130.09,131.22,66905100
AAPL,2021-04-27,131.50,131.89,130.62,130.90,66015800
AAPL,2021-04-28,130.82,131.51,129.62,130.11,107760100
AAPL,2021-04-29,132.92,133.51,129.01,130.01,151101000
AAPL,2021-04-30,128.35,130.09,127.66,128.04,109839500
AAPL,2021-05-03,128.61,130.58,128.40,129.09,75135100
AAPL,2021-05-04,127.78,128.07,123.41,124.53,137564700
AAPL,2021-05-05,125.84,127.06,124.64,124.77,84000900
AAPL,2021-05-06,124.56,126.38,123.82,126.37,78128300
AAPL,2021-05-07,127.66,128.06,126.33,127.04,78973300
AAPL,2021-05-10,126.26,126.39,123.72,123.76,88071200
AAPL,2021-05-11,120.49,123.20,119.78,122.84,126142800
AAPL,2021-05-12,120.40,121.61,119.27,119.78,112172300
AAPL,2021-05-13,121.55,123.08,121.23,121.93,105861300
AAPL,2021-05-14,123.18,124.78,122.79,124.35,81918000
AAPL,2021-05-17,123.73,123.84,122.12,123.20,74244600
AAPL,2021-05-18,123.48,123.90,121.74,121.81,63342900
AAPL,2021-05-19,120.16,121.88,119.87,121.65,92612000
AAPL,2021-05-20,122.18,124.61,122.05,124.21,76857100
AAPL,2021-05-21,124.71,124.88,122.16,122.38,79295400
AAPL,2021-05-24,122.94,124.82,122.87,124.01,63092900
AAPL,2021-05-25,124.71,125.20,123.24,123.81,72009500
AAPL,2021-05-26,123.87,124.29,123.34,123.76,56575900
AAPL,2021-05-27,123.36,124.53,122.03,122.23,94625600
AAPL,2021-05-28,122.51,122.74,121.52,121.58,71311100
AAPL,2021-06-01,122.03,122.30,120.92,121.25,67637100
AAPL,2021-06-02,121.25,122.19,121.03,122.01,59278900
AAPL,2021-06-03,121.64,121.81,120.13,120.53,76229200
AAPL,2021-06-04,121.05,123.09,120.83,122.82,75169300
AAPL,2021-06-07,123.10,123.24,121.79,122.83,71057600
AAPL,2021-06-08,123.52,125.33,123.14,123.65,74403800
AAPL,2021-06-09,124.11,124.64,123.44,124.03,56877900
AAPL,2021-06-10,123.93,125.07,122.87,123.04,71186400
AAPL,2021-06-11,123.45,124.34,123.03,124.25,53522400
AAPL,2021-06-14,124.71,127.36,123.98,127.30,96906500
AAPL,2021-06-15,126.78,127.42,126.24,126.48,62746300
AAPL,2021-06-16,127.20,127.70,125.33,126.98,91815000
AAPL,2021-06-17,126.64,129.32,126.49,128.58,96721700
AAPL,2021-06-18,127.53,128.31,127.07,127.28,108953300
AAPL,2021-06-21,127.13,129.19,126.06,129.08,79663300
AAPL,2021-06-22,128.91,130.82,128.42,130.72,74783600
AAPL,2021-06-23,130.51,131.05,129.99,130.44,60214200
AAPL,2021-06-24,131.18,131.36,129.69,130.16,68711000
AAPL,2021-06-25,130.21,130.63,129.58,129.87,70783700
AAPL,2021-06-28,130.16,131.96,130.10,131.50,62111300
AAPL,2021-06-29,131.52,133.17,131.08,133.01,64556100
AAPL,2021-06-30,132.85,134.06,132.56,133.63,63261400
AAPL,2021-07-01,133.27,133.99,132.45,133.93,52485800
AAPL,2021-07-02,134.54,136.59,134.40,136.55,78852600
AAPL,2021-07-06,136.66,139.66,136.66,138.56,108181800
AAPL,2021-07-07,140.04,141.36,139.19,141.05,104911600
AAPL,2021-07-08,138.13,140.55,137.24,139.75,105575500
AAPL,2021-07-09,139.27,142.10,139.18,141.58,99890800
AAPL,2021-07-12,142.65,142.76,140.49,140.98,76299700
AAPL,2021-07-13,140.52,143.87,140.13,142.09,100827100
AAPL,2021-07-14,144.49,145.93,144.08,145.52,127050800
AAPL,2021-07-15,145.61,146.35,143.51,144.86,106820300
AAPL,2021-07-16,144.84,146.11,142.33,142.83,93251400
AAPL,2021-07-19,140.25,140.56,138.22,138.98,121434600
AAPL,2021-07-20,139.97,143.52,139.48,142.59,96350000
AAPL,2021-07-21,141.99,142.57,141.11,141.86,74993500
AAPL,2021-07-22,142.39,144.59,142.26,143.23,77338200
AAPL,2021-07-23,143.96,145.10,143.34,144.94,71447400
AAPL,2021-07-26,144.66,146.18,144.10,145.36,72434100
AAPL,2021-07-27,145.49,145.58,142.01,143.20,104818600
AAPL,2021-07-28,141.28,143.39,139.07,141.45,118931200
AAPL,2021-07-29,141.17,142.98,141.06,142.09,56699500
AAPL,2021-07-30,140.86,142.77,140.60,142.31,70440600
AAPL,2021-08-02,142.80,143.37,141.71,141.98,62880000
AAPL,2021-08-03,142.26,144.44,141.64,143.77,64786600
AAPL,2021-08-04,143.68,144.19,142.72,143.37,56368300
AAPL,2021-08-05,143.40,144.24,142.61,143.48,46397700
AAPL,2021-08-06,143.00,143.74,142.30,142.80,54126800
AAPL,2021-08-09,142.85,143.34,142.19,142.75,48908700
AAPL,2021-08-10,143.09,144.33,141.97,142.27,69023100
AAPL,2021-08-11,142.71,143.36,142.20,142.52,48493500
AAPL,2021-08-12,142.84,145.64,142.50,145.48,72282600
AAPL,2021-08-13,145.56,146.02,144.88,145.69,59375000
AAPL,2021-08-16,145.14,147.73,143.12,147.66,103296000
AAPL,2021-08-17,146.79,148.21,145.68,146.75,92229700
AAPL,2021-08-18,146.37,147.27,142.80,143.01,86326000
AAPL,2021-08-19,141.71,144.61,141.19,143.34,86960300
AAPL,2021-08-20,144.07,145.10,143.42,144.80,60549600
AAPL,2021-08-23,144.92,146.75,144.51,146.28,60131800
AAPL,2021-08-24,146.03,147.41,145.74,146.20,48606400
AAPL,2021-08-25,146.38,146.88,144.42,144.96,58991300
AAPL,2021-08-26,144.95,145.71,144.13,144.16,48597200
AAPL,2021-08-27,144.10,145.35,143.47,145.20,55802400
AAPL,2021-08-30,145.59,149.98,145.21,149.62,90956700
AAPL,2021-08-31,149.17,149.30,147.83,148.35,86453100
AAPL,2021-09-01,149.33,151.43,148.85,149.02,80313700
AAPL,2021-09-02,150.35,151.18,148.91,150.13,71115500
AAPL,2021-09-03,150.24,151.09,149.59,150.77,57808700
AAPL,2021-09-07,151.42,153.66,150.86,153.10,82278300
AAPL,2021-09-08,153.39,153.45,150.46,151.56,74420200
AAPL,2021-09-09,151.93,152.54,150.43,150.54,57305700
AAPL,2021-09-10,151.45,151.92,145.30,145.56,140893200
AAPL,2021-09-13,147.18,147.95,145.35,146.13,102404300
AAPL,2021-09-14,146.91,147.61,143.55,144.73,109296300
AAPL,2021-09-15,145.16,146.02,143.02,145.62,83281300
AAPL,2021-09-16,145.04,145.56,143.85,145.38,68034100
AAPL,2021-09-17,145.41,145.41,142.42,142.72,129868800
AAPL,2021-09-20,140.51,141.52,138.04,139.67,123478900
AAPL,2021-09-21,140.64,141.29,139.51,140.15,75834000
AAPL,2021-09-22,141.14,143.08,140.41,142.51,76404300
AAPL,2021-09-23,143.29,143.71,142.31,143.47,64838200
AAPL,2021-09-24,142.33,144.09,142.23,143.56,53477900
AAPL,2021-09-27,142.14,142.62,140.53,142.04,74150700
AAPL,2021-09-28,139.97,141.44,138.45,138.66,108972300
AAPL,2021-09-29,139.21,141.14,138.78,139.56,74602000
AAPL,2021-09-30,140.37,141.08,138.05,138.26,89056700
AAPL,2021-10-01,138.65,139.65,135.93,139.38,94639600
AAPL,2021-10-04,138.52,138.96,135.11,135.96,98322000
AAPL,2021-10-05,136.30,138.98,136.17,137.88,80861100
AAPL,2021-10-06,136.28,138.90,135.20,138.75,83221100
AAPL,2021-10-07,139.79,140.92,139.45,140.01,61732700
AAPL,2021-10-08,140.73,140.88,139.30,139.63,58773200
AAPL,2021-10-11,139.01,141.50,138.56,139.54,64452200
AAPL,2021-10-12,139.95,139.97,137.81,138.27,73035900
AAPL,2021-10-13,138.01,138.16,136.01,137.68,78762700
AAPL,2021-10-14,138.86,140.59,138.27,140.47,69907100
AAPL,2021-10-15,140.48,141.58,140.23,141.52,67940300
AAPL,2021-10-18,140.17,143.48,139.88,143.20,85589200
AAPL,2021-10-19,143.65,145.76,143.20,145.36,76378900
AAPL,2021-10-20,145.30,146.32,144.73,145.84,58418800
AAPL,2021-10-21,145.40,146.22,144.49,146.06,61421000
AAPL,2021-10-22,146.26,146.74,145.24,145.29,58883400
AAPL,2021-10-25,145.28,145.95,144.24,145.24,50720600
AAPL,2021-10-26,145.91,147.39,145.60,145.90,60893400
AAPL,2021-10-27,145.94,146.30,145.09,145.44,56094900
AAPL,2021-10-28,146.39,149.66,146.29,149.08,100077900
AAPL,2021-10-29,143.85,146.51,143.06,146.37,124953200
AAPL,2021-11-01,145.58,146.27,144.42,145.55,74588300
AAPL,2021-11-02,145.26,148.10,145.25,146.59,69122000
AAPL,2021-11-03,146.95,148.49,146.39,148.02,54511500
AAPL,2021-11-04,148.11,148.94,147.19,147.50,60394600
AAPL,2021-11-05,148.63,148.93,146.84,148.03,65463900
AAPL,2021-11-08,148.16,148.32,146.94,147.21,55020900
AAPL,2021-11-09,146.98,148.18,146.84,147.57,56787900
