country_code,country,indicator,year,value
AFE,Africa Eastern and Southern,GDP,2024,1242693542929.85
AFE,Africa Eastern and Southern,GDP,2023,1179359054880.45
AFE,Africa Eastern and Southern,GDP,2022,1228967879390.01
AFE,Africa Eastern and Southern,GDP,2021,1114144799994.21
AFE,Africa Eastern and Southern,GDP,2020,938607563405.087
AFE,Africa Eastern and Southern,GDP,2019,1018714795912.35
AFE,Africa Eastern and Southern,GDP,2018,1020955778298.17
AFE,Africa Eastern and Southern,GDP,2017,978076465866.452
AFE,Africa Eastern and Southern,GDP,2016,831868076442.431
AFE,Africa Eastern and Southern,GDP,2015,910002035578.038
AFE,Africa Eastern and Southern,GDP,2014,998836162271.296
AFE,Africa Eastern and Southern,GDP,2013,981308886976.783
AFE,Africa Eastern and Southern,GDP,2012,969265729636.028
AFE,Africa Eastern and Southern,GDP,2011,959822476083.878
AFE,Africa Eastern and Southern,GDP,2010,863822114606.332
AFW,Africa Western and Central,GDP,2024,736384961061.523
AFW,Africa Western and Central,GDP,2023,938238370514.198
AFW,Africa Western and Central,GDP,2022,1063649130876.99
AFW,Africa Western and Central,GDP,2021,1026651004045.79
AFW,Africa Western and Central,GDP,2020,963784699293.976
AFW,Africa Western and Central,GDP,2019,1026996211935.8
AFW,Africa Western and Central,GDP,2018,777840323023.311
AFW,Africa Western and Central,GDP,2017,694051345937.233
AFW,Africa Western and Central,GDP,2016,700028168335.244
AFW,Africa Western and Central,GDP,2015,778022057597.448
AFW,Africa Western and Central,GDP,2014,904071921008.085
AFW,Africa Western and Central,GDP,2013,844180401591.48
AFW,Africa Western and Central,GDP,2012,748030003656.802
AFW,Africa Western and Central,GDP,2011,691133400013.31
AFW,Africa Western and Central,GDP,2010,605794323433.505
ARB,Arab World,GDP,2024,3735881442514.35
ARB,Arab World,GDP,2023,3622495663981.78
ARB,Arab World,GDP,2022,3747416641077.46
ARB,Arab World,GDP,2021,3085141461685.6
ARB,Arab World,GDP,2020,2604104981819.8
ARB,Arab World,GDP,2019,2965285548936.01
ARB,Arab World,GDP,2018,2920829737234.67
ARB,Arab World,GDP,2017,2611323720520
ARB,Arab World,GDP,2016,2536564595458.87
ARB,Arab World,GDP,2015,2580328583417.41
ARB,Arab World,GDP,2014,2937035588682.67
ARB,Arab World,GDP,2013,2883689839002.54
ARB,Arab World,GDP,2012,2813567531715.43
ARB,Arab World,GDP,2011,2573067811497.98
ARB,Arab World,GDP,2010,2161397546202.94
CSS,Caribbean small states,GDP,2024,90344593407.0487
CSS,Caribbean small states,GDP,2023,79534673452.944
CSS,Caribbean small states,GDP,2022,78506430710.7309
CSS,Caribbean small states,GDP,2021,62687149265.4471
CSS,Caribbean small states,GDP,2020,53320869430.7059
CSS,Caribbean small states,GDP,2019,62185458482.7062
CSS,Caribbean small states,GDP,2018,61252081219.8672
CSS,Caribbean small states,GDP,2017,59690101434.3488
