date,machine,shift,planned_hrs,actual_hrs,good_units,defect_units,target_units,downtime_min,energy_kwh
2024-01-01,CNC-3,morning,8,7.21,75,6,84,2,76.6
2024-01-01,CNC-3,afternoon,8,6.61,101,1,115,6,274.6
2024-01-01,CNC-3,night,8,7.06,123,5,134,6,84.3
2024-01-01,CNC-9,morning,8,7.89,125,5,140,12,138.6
2024-01-01,CNC-9,afternoon,8,6.98,110,2,117,15,156.7
2024-01-01,CNC-9,night,8,7.0,189,11,198,23,183.1
2024-01-01,CNC-6,morning,8,7.09,90,2,96,24,248.2
2024-01-01,CNC-6,afternoon,8,7.53,110,4,119,33,133.5
2024-01-01,CNC-6,night,8,7.07,86,4,94,25,130.6
2024-01-01,CNC-7,morning,8,6.82,108,7,123,14,255.3
2024-01-01,CNC-7,afternoon,8,6.54,184,0,199,5,291.4
2024-01-01,CNC-7,night,8,7.82,100,2,102,19,95.2
2024-01-01,CNC-11,morning,8,7.81,140,1,145,20,258.7
2024-01-01,CNC-11,afternoon,8,7.97,86,2,95,13,86.2
2024-01-01,CNC-11,night,8,6.86,178,2,194,17,144.7
2024-01-01,CNC-10,morning,8,7.3,105,0,120,5,286.5
2024-01-01,CNC-10,afternoon,8,6.83,77,3,87,2,260.8
2024-01-01,CNC-10,night,8,7.59,174,0,185,9,241.6
2024-01-01,CNC-12,morning,8,6.75,118,9,130,42,280.2
2024-01-01,CNC-12,afternoon,8,7.81,125,4,145,0,120.1
2024-01-01,CNC-12,night,8,6.63,159,2,172,16,92.3
2024-01-01,CNC-14,morning,8,7.96,140,1,157,2,282.3
2024-01-01,CNC-14,afternoon,8,6.8,101,9,117,29,201.4
2024-01-01,CNC-14,night,8,7.39,115,6,130,15,230.6
2024-01-01,CNC-16,morning,8,6.93,83,5,95,26,256.2
2024-01-01,CNC-16,afternoon,8,7.87,95,4,102,5,273.5
2024-01-01,CNC-16,night,8,6.91,101,5,119,23,75.3
2024-01-01,CNC-20,morning,8,6.62,154,9,178,29,166.8
2024-01-01,CNC-20,afternoon,8,6.81,135,1,158,43,240.6
2024-01-01,CNC-20,night,8,6.86,136,4,155,36,257.1
2024-01-01,CNC-1,morning,8,7.87,171,8,192,35,162.9
2024-01-01,CNC-1,afternoon,8,6.93,126,7,144,42,196.5
2024-01-01,CNC-1,night,8,7.5,164,0,170,31,134.6
2024-01-01,CNC-13,morning,8,7.97,168,12,180,24,118.8
2024-01-01,CNC-13,afternoon,8,6.98,187,14,193,5,274.6
2024-01-01,CNC-13,night,8,7.68,76,3,87,12,219.9
2024-01-01,CNC-8,morning,8,7.27,110,1,115,45,290.4
2024-01-01,CNC-8,afternoon,8,7.31,93,2,108,7,234.0
2024-01-01,CNC-8,night,8,7.73,88,6,99,29,105.7
2024-01-01,CNC-17,morning,8,7.55,127,3,143,41,76.2
2024-01-01,CNC-17,afternoon,8,6.8,115,1,117,27,213.3
2024-01-01,CNC-17,night,8,7.62,183,12,193,1,259.7
2024-01-01,CNC-2,morning,8,7.09,83,5,93,17,297.7
2024-01-01,CNC-2,afternoon,8,7.44,143,10,158,16,238.9
2024-01-01,CNC-2,night,8,7.16,90,2,103,44,186.8
2024-01-01,CNC-15,morning,8,7.91,125,6,136,8,298.4
2024-01-01,CNC-15,afternoon,8,7.63,117,4,121,11,87.5
2024-01-01,CNC-15,night,8,7.67,141,8,162,26,280.7
2024-01-01,CNC-19,morning,8,7.26,145,7,154,13,91.0
2024-01-01,CNC-19,afternoon,8,7.15,141,6,151,3,202.6
2024-01-01,CNC-19,night,8,6.82,107,4,111,31,139.2
2024-01-01,CNC-4,morning,8,7.44,141,3,144,19,115.1
2024-01-01,CNC-4,afternoon,8,7.77,124,1,145,38,114.0
2024-01-01,CNC-4,night,8,7.98,104,7,116,29,198.0
2024-01-01,CNC-18,morning,8,6.95,122,4,142,32,196.3
2024-01-01,CNC-18,afternoon,8,7.15,154,5,173,15,221.0
2024-01-01,CNC-18,night,8,6.74,94,6,96,42,53.5
2024-01-02,CNC-18,morning,8,6.7,167,10,192,24,229.4
2024-01-02,CNC-18,afternoon,8,7.51,104,3,115,38,276.8
2024-01-02,CNC-18,night,8,6.64,141,10,152,38,104.3
2024-01-02,CNC-6,morning,8,6.9,168,0,198,17,149.3
2024-01-02,CNC-6,afternoon,8,7.37,166,12,172,44,140.4
2024-01-02,CNC-6,night,8,7.75,165,11,169,6,257.9
2024-01-02,CNC-14,morning,8,6.82,163,1,183,12,270.0
2024-01-02,CNC-14,afternoon,8,7.97,85,4,100,45,56.5
2024-01-02,CNC-14,night,8,6.92,150,9,152,41,69.8
2024-01-02,CNC-8,morning,8,6.86,130,0,137,25,158.1
2024-01-02,CNC-8,afternoon,8,7.66,115,9,117,6,226.1
2024-01-02,CNC-8,night,8,7.97,96,1,100,7,116.3
2024-01-02,CNC-15,morning,8,7.96,133,5,155,34,75.8
2024-01-02,CNC-15,afternoon,8,7.27,96,3,104,38,222.2
2024-01-02,CNC-15,night,8,6.65,77,2,80,39,255.6
2024-01-02,CNC-5,morning,8,7.71,127,3,132,11,168.8
