review_id,product,category,rating,sentiment,review_date,helpful_votes,verified_purchase,review_length
R-000001,Product-C10,Software,3,neutral,2022-09-03,0,No,389
R-000002,Product-C8,Sports,4,positive,2024-05-05,28,Yes,313
R-000003,Product-C10,Home,2,negative,2023-03-16,36,Yes,437
R-000004,Product-C2,Electronics,4,positive,2023-05-20,12,No,214
R-000005,Product-A4,Electronics,1,negative,2024-08-29,30,No,492
R-000006,Product-B4,Books,5,positive,2023-08-21,41,Yes,132
R-000007,Product-C6,Books,5,positive,2023-05-04,2,Yes,275
R-000008,Product-E1,Electronics,3,neutral,2024-08-05,37,Yes,414
R-000009,Product-B8,Home,4,positive,2024-02-12,15,Yes,356
R-000010,Product-C8,Electronics,5,positive,2023-02-11,28,Yes,203
R-000011,Product-E5,Software,5,positive,2022-05-24,38,Yes,230
R-000012,Product-D1,Software,4,positive,2024-04-05,32,Yes,340
R-000013,Product-C9,Electronics,5,positive,2024-12-27,35,Yes,143
R-000014,Product-E5,Books,4,positive,2023-01-15,37,Yes,169
R-000015,Product-C5,Books,4,positive,2024-09-01,28,Yes,374
R-000016,Product-D4,Electronics,5,positive,2023-09-13,15,Yes,117
R-000017,Product-B8,Books,5,positive,2022-10-04,10,Yes,366
R-000018,Product-A7,Books,3,neutral,2024-11-20,37,Yes,366
R-000019,Product-B4,Books,5,positive,2024-11-24,40,Yes,222
R-000020,Product-C8,Books,5,positive,2024-09-30,33,Yes,369
R-000021,Product-A4,Home,4,positive,2022-11-06,38,Yes,319
R-000022,Product-A8,Books,4,positive,2022-07-06,28,Yes,338
R-000023,Product-E7,Books,4,positive,2024-08-08,36,Yes,239
R-000024,Product-C6,Sports,5,positive,2022-12-06,44,Yes,110
R-000025,Product-B6,Home,5,positive,2024-07-23,15,Yes,81
R-000026,Product-D9,Books,1,negative,2024-03-15,47,Yes,166
R-000027,Product-E10,Electronics,4,positive,2023-07-22,50,Yes,181
R-000028,Product-D2,Electronics,1,negative,2023-04-23,37,Yes,446
R-000029,Product-B5,Books,3,neutral,2024-07-08,4,Yes,250
R-000030,Product-C8,Electronics,5,positive,2022-08-30,44,No,48
R-000031,Product-D4,Software,5,positive,2024-06-01,10,Yes,394
R-000032,Product-B1,Electronics,5,positive,2022-07-11,23,Yes,256
R-000033,Product-B3,Software,3,neutral,2024-01-20,30,Yes,371
R-000034,Product-B2,Electronics,4,positive,2022-10-11,14,Yes,489
R-000035,Product-B6,Electronics,4,positive,2024-12-21,5,Yes,77
R-000036,Product-E5,Electronics,5,positive,2024-06-13,0,Yes,52
R-000037,Product-B5,Electronics,4,positive,2023-11-10,9,Yes,189
R-000038,Product-D8,Books,4,positive,2023-03-21,44,No,81
R-000039,Product-B7,Electronics,5,positive,2024-09-30,46,Yes,71
R-000040,Product-C9,Electronics,5,positive,2023-08-28,45,Yes,473
R-000041,Product-C3,Software,4,positive,2023-11-29,14,Yes,166
R-000042,Product-C10,Sports,5,positive,2024-06-21,46,Yes,457
R-000043,Product-D7,Sports,5,positive,2023-12-27,8,Yes,434
R-000044,Product-C3,Books,4,positive,2024-11-09,49,Yes,173
R-000045,Product-C8,Sports,5,positive,2024-05-28,38,Yes,212
R-000046,Product-D4,Software,4,positive,2024-07-27,49,Yes,211
R-000047,Product-A1,Sports,4,positive,2022-01-18,17,Yes,144
R-000048,Product-B9,Software,4,positive,2023-02-03,2,Yes,156
R-000049,Product-C3,Books,1,negative,2023-10-14,39,No,262
R-000050,Product-A4,Books,4,positive,2023-04-16,14,Yes,236
R-000051,Product-E4,Sports,5,positive,2023-11-07,14,Yes,193
R-000052,Product-D10,Electronics,2,negative,2023-03-30,26,Yes,181
R-000053,Product-D9,Sports,2,negative,2022-07-15,24,Yes,463
R-000054,Product-E5,Books,4,positive,2023-08-02,18,Yes,500
R-000055,Product-B5,Sports,5,positive,2022-07-29,48,Yes,227
R-000056,Product-D2,Sports,5,positive,2023-02-05,11,Yes,353
R-000057,Product-E3,Books,5,positive,2022-01-29,43,Yes,50
R-000058,Product-D4,Home,5,positive,2023-05-13,39,Yes,71
R-000059,Product-D10,Software,3,neutral,2022-10-20,12,Yes,143
R-000060,Product-D4,Books,5,positive,2023-07-19,30,Yes,321
R-000061,Product-E9,Electronics,4,positive,2022-01-16,15,Yes,109
