shipment_id,product,carrier,origin,destination,ship_date,est_delivery,actual_delivery,weight_kg,cost_usd,status
SH-00001,Part-Y,UPS,Mumbai,Singapore,2024-10-16,2024-10-22,2024-10-22,51.7,3707.23,delivered
SH-00002,Widget-A,FedEx,Shanghai,Los Angeles,2024-07-12,2024-07-17,2024-07-20,116.7,3016.06,delivered
SH-00003,Sensor-L,UPS,Chicago,Dubai,2024-07-28,2024-08-06,2024-08-13,139.5,4348.46,in_transit
SH-00004,Assembly-Z,UPS,Mumbai,Toronto,2023-06-13,2023-07-08,2023-07-08,168.6,477.34,delivered
SH-00005,Assembly-Z,FedEx,Tokyo,Sydney,2023-04-10,2023-04-24,2023-04-24,268.3,4865.98,delayed
SH-00006,Motor-K,USPS,Mumbai,Singapore,2024-01-23,2024-01-28,2024-01-30,35.2,3311.4,delivered
SH-00007,Sensor-L,DHL,Chicago,Singapore,2023-10-24,2023-10-29,2023-10-29,417.1,825.83,delivered
SH-00008,Widget-B,USPS,Tokyo,Los Angeles,2023-12-30,2024-01-08,2024-01-13,267.3,1235.38,delivered
SH-00009,Part-Y,Blue Dart,Berlin,Toronto,2024-04-18,2024-05-03,2024-05-03,384.3,293.85,in_transit
SH-00010,Assembly-Z,FedEx,Mumbai,Dubai,2023-02-02,2023-03-02,2023-03-02,438.2,1583.67,delivered
SH-00011,Gadget-X,DHL,Mumbai,Los Angeles,2024-11-02,2024-11-20,2024-11-20,372.6,2701.8,delivered
SH-00012,Motor-K,UPS,Mumbai,Dubai,2024-08-21,2024-09-06,2024-09-09,247.0,3782.57,delivered
SH-00013,Sensor-L,USPS,Shanghai,Sydney,2023-04-23,2023-04-30,2023-05-05,191.1,4980.67,delivered
SH-00014,Widget-B,Blue Dart,Sao Paulo,Toronto,2024-06-25,2024-07-06,2024-07-08,133.8,3210.19,delivered
SH-00015,Valve-M,FedEx,Tokyo,Singapore,2023-04-25,2023-05-07,2023-05-07,132.1,2510.42,delivered
SH-00016,Part-Y,UPS,Berlin,Toronto,2023-07-02,2023-07-21,2023-07-21,81.2,4768.2,delivered
SH-00017,Valve-M,FedEx,Shanghai,London,2024-06-27,2024-06-30,2024-07-03,439.4,4160.85,delivered
SH-00018,Widget-B,FedEx,Tokyo,Sydney,2023-11-11,2023-11-21,2023-11-21,408.1,4890.25,delivered
SH-00019,Valve-M,USPS,Mumbai,London,2024-06-29,2024-07-26,2024-07-26,264.1,3038.87,delivered
SH-00020,Assembly-Z,Maersk,Tokyo,Singapore,2023-08-05,2023-08-25,2023-09-04,187.0,4499.58,delivered
SH-00021,Widget-B,DHL,Shanghai,Dubai,2024-04-07,2024-04-13,2024-04-13,277.2,2948.37,delivered
SH-00022,Part-Y,FedEx,Shanghai,Toronto,2023-01-08,2023-01-13,2023-01-20,165.5,2578.07,delivered
SH-00023,Gadget-X,Blue Dart,Sao Paulo,Dubai,2023-10-13,2023-11-06,2023-11-07,236.6,3926.33,delivered
SH-00024,Sensor-L,DHL,Chicago,Sydney,2024-02-21,2024-03-01,2024-03-01,233.8,3649.44,delivered
SH-00025,Widget-A,Maersk,Tokyo,London,2024-11-20,2024-12-13,2024-12-18,400.4,559.71,delivered
SH-00026,Gadget-X,Maersk,Mumbai,London,2023-07-16,2023-07-25,2023-07-27,231.6,4374.31,delivered
SH-00027,Widget-B,FedEx,Tokyo,Dubai,2023-03-19,2023-04-05,2023-04-15,418.1,4845.45,in_transit
SH-00028,Valve-M,UPS,London,Sydney,2023-08-31,2023-09-08,2023-09-08,451.3,835.72,delivered
SH-00029,Assembly-Z,Maersk,Tokyo,Singapore,2023-01-03,2023-01-18,2023-01-18,497.7,2785.51,delivered
SH-00030,Part-Y,FedEx,Sao Paulo,Singapore,2024-05-13,2024-05-20,2024-05-20,271.3,3743.66,delivered
SH-00031,Gadget-X,FedEx,Sao Paulo,New York,2023-02-28,2023-03-04,2023-03-07,425.7,356.58,delivered
SH-00032,Widget-B,USPS,Mumbai,Dubai,2023-03-11,2023-04-04,2023-04-04,297.5,3102.62,delivered
SH-00033,Motor-K,DHL,Mumbai,Singapore,2024-03-05,2024-03-29,2024-04-01,358.2,1204.85,delayed
SH-00034,Valve-M,DHL,London,New York,2024-02-10,2024-02-17,2024-02-22,5.2,3111.48,delivered
SH-00035,Part-Y,USPS,Berlin,Los Angeles,2024-07-30,2024-08-05,2024-08-05,466.7,4406.11,in_transit
SH-00036,Valve-M,USPS,Tokyo,London,2023-09-08,2023-09-22,2023-09-22,306.0,4936.36,delivered
SH-00037,Assembly-Z,Blue Dart,Shanghai,Los Angeles,2024-10-31,2024-11-19,2024-11-19,132.6,4450.22,in_transit
SH-00038,Part-Y,Blue Dart,Berlin,Los Angeles,2024-07-20,2024-07-27,2024-07-27,343.9,4266.77,delivered
SH-00039,Widget-B,Blue Dart,Chicago,Toronto,2024-06-01,2024-06-19,2024-06-19,138.7,32.68,delivered
SH-00040,Valve-M,USPS,Tokyo,Sydney,2023-05-14,2023-06-06,2023-06-06,280.7,572.69,delivered
SH-00041,Motor-K,USPS,Sao Paulo,Los Angeles,2024-12-08,2024-12-15,2024-12-17,215.2,223.52,delivered
SH-00042,Part-Y,Blue Dart,Mumbai,Singapore,2024-01-09,2024-02-06,2024-02-06,51.8,3903.88,delivered
SH-00043,Part-Y,UPS,London,Toronto,2024-02-21,2024-03-14,2024-03-21,88.9,2070.29,delivered
SH-00044,Part-Y,DHL,Mumbai,Toronto,2023-07-03,2023-07-29,2023-07-29,350.8,1921.97,delivered
SH-00045,Part-Y,Maersk,Berlin,London,2023-02-09,2023-03-11,2023-03-12,410.4,4358.55,delivered
SH-00046,Sensor-L,DHL,Berlin,Toronto,2023-08-17,2023-08-20,2023-08-25,35.2,3870.03,delivered
SH-00047,Motor-K,FedEx,Shanghai,London,2023-12-26,2024-01-18,2024-01-20,89.7,4813.23,delivered
SH-00048,Sensor-L,DHL,Tokyo,Toronto,2023-09-29,2023-10-03,2023-10-03,157.2,3036.95,delayed
SH-00049,Part-Y,DHL,Shanghai,Singapore,2024-06-07,2024-06-13,2024-06-13,218.3,2606.8,delayed
SH-00050,Motor-K,Maersk,Shanghai,Singapore,2024-07-05,2024-07-29,2024-08-05,460.4,3121.43,delivered
SH-00051,Assembly-Z,Blue Dart,Chicago,London,2024-11-10,2024-12-10,2024-12-10,201.5,1488.84,delivered
SH-00052,Gadget-X,USPS,Sao Paulo,London,2023-05-11,2023-05-20,2023-05-20,203.3,4171.12,delivered
SH-00053,Motor-K,Maersk,Chicago,Sydney,2023-11-08,2023-11-20,2023-11-20,338.0,2563.2,delivered
SH-00054,Motor-K,FedEx,London,Toronto,2023-06-23,2023-07-17,2023-07-17,117.8,1562.44,delivered
SH-00055,Part-Y,Maersk,Sao Paulo,Toronto,2023-07-23,2023-07-30,2023-07-30,384.4,2285.25,delivered
SH-00056,Valve-M,Maersk,Mumbai,Los Angeles,2024-10-06,2024-10-27,2024-10-27,328.2,42.64,delivered
SH-00057,Gadget-X,Blue Dart,Sao Paulo,Sydney,2023-04-20,2023-05-17,2023-05-17,25.6,1257.25,delivered
SH-00058,Motor-K,Maersk,Sao Paulo,Toronto,2023-05-05,2023-05-22,2023-05-22,359.8,2531.32,delivered
SH-00059,Valve-M,DHL,London,Los Angeles,2024-07-15,2024-08-01,2024-08-01,420.0,1397.4,delivered
SH-00060,Assembly-Z,Maersk,Shanghai,Singapore,2024-06-17,2024-07-05,2024-07-10,143.2,1369.5,delivered
SH-00061,Gadget-X,UPS,Chicago,Singapore,2023-11-24,2023-12-14,2023-12-14,76.8,1081.56,delivered
SH-00062,Valve-M,Maersk,Shanghai,Los Angeles,2024-02-29,2024-03-16,2024-03-16,416.5,1956.54,in_transit
SH-00063,Sensor-L,Maersk,Shanghai,London,2024-08-21,2024-09-15,2024-09-15,149.7,1959.08,delayed
SH-00064,Part-Y,Maersk,Mumbai,London,2024-03-05,2024-03-25,2024-04-01,218.2,159.69,in_transit
SH-00065,Gadget-X,Maersk,Mumbai,Dubai,2023-12-11,2024-01-04,2024-01-09,267.3,4536.04,delivered
SH-00066,Widget-B,Blue Dart,Chicago,Los Angeles,2024-08-29,2024-09-19,2024-09-24,433.5,920.92,delivered
SH-00067,Valve-M,DHL,Berlin,Toronto,2023-09-24,2023-10-09,2023-10-09,439.9,1402.11,delivered
SH-00068,Widget-A,Blue Dart,Sao Paulo,New York,2024-03-07,2024-03-18,2024-03-18,500.0,1759.55,delivered
SH-00069,Widget-A,UPS,Mumbai,Toronto,2024-10-27,2024-11-01,2024-11-11,10.7,774.63,delivered
SH-00070,Part-Y,Maersk,Tokyo,London,2023-05-10,2023-05-28,2023-06-02,383.6,851.43,delivered
SH-00071,Gadget-X,DHL,Shanghai,Dubai,2024-09-13,2024-10-09,2024-10-16,13.3,1570.11,delivered
SH-00072,Widget-B,USPS,Tokyo,Toronto,2024-11-24,2024-12-09,2024-12-09,313.8,522.98,delivered
SH-00073,Widget-B,USPS,London,New York,2023-11-05,2023-12-05,2023-12-10,173.9,2150.46,delayed
SH-00074,Widget-A,Maersk,London,Sydney,2024-01-15,2024-01-20,2024-01-22,53.2,4804.53,delivered
SH-00075,Sensor-L,UPS,Tokyo,Dubai,2024-10-12,2024-11-10,2024-11-11,482.8,1361.36,delivered
SH-00076,Sensor-L,Blue Dart,Sao Paulo,London,2024-07-05,2024-08-01,2024-08-02,161.5,1238.79,delivered
SH-00077,Valve-M,USPS,Sao Paulo,Singapore,2023-03-30,2023-04-10,2023-04-11,189.8,158.07,delivered
SH-00078,Motor-K,DHL,Berlin,London,2023-11-29,2023-12-07,2023-12-08,440.2,3510.4,delivered
SH-00079,Part-Y,FedEx,Mumbai,Singapore,2023-10-10,2023-10-30,2023-10-30,203.5,2782.55,in_transit
SH-00080,Valve-M,FedEx,Shanghai,London,2023-09-04,2023-09-29,2023-09-30,111.2,3463.56,delivered
SH-00081,Valve-M,USPS,Sao Paulo,London,2023-11-10,2023-12-04,2023-12-07,213.0,3733.49,delivered
SH-00082,Assembly-Z,DHL,Berlin,Los Angeles,2023-12-05,2023-12-19,2023-12-26,60.8,975.03,delivered
SH-00083,Part-Y,UPS,Tokyo,Sydney,2023-05-03,2023-05-29,2023-05-31,138.6,2954.09,delivered
SH-00084,Part-Y,DHL,Mumbai,London,2024-06-21,2024-07-13,2024-07-13,90.1,85.53,delivered
SH-00085,Widget-A,USPS,Berlin,Singapore,2024-06-30,2024-07-07,2024-07-07,472.1,3194.78,delivered
SH-00086,Assembly-Z,Maersk,Chicago,Sydney,2024-05-17,2024-05-23,2024-05-23,170.7,4828.01,delayed
SH-00087,Widget-B,Maersk,Chicago,New York,2023-09-16,2023-10-16,2023-10-17,288.7,3436.96,delivered
SH-00088,Assembly-Z,FedEx,Mumbai,New York,2023-06-05,2023-06-12,2023-06-22,279.3,2089.63,delayed
SH-00089,Sensor-L,Maersk,Chicago,London,2024-09-02,2024-09-30,2024-10-03,430.2,4950.31,delivered
SH-00090,Widget-B,UPS,Tokyo,Los Angeles,2023-11-09,2023-11-30,2023-12-03,132.7,419.72,delivered
SH-00091,Gadget-X,FedEx,Chicago,Sydney,2023-09-03,2023-09-11,2023-09-13,344.8,2357.51,delivered
SH-00092,Valve-M,FedEx,Tokyo,Los Angeles,2023-02-03,2023-02-13,2023-02-13,462.0,3942.32,delivered
SH-00093,Sensor-L,FedEx,Sao Paulo,Los Angeles,2024-10-02,2024-10-23,2024-10-28,324.0,4543.43,delivered
SH-00094,Assembly-Z,USPS,Tokyo,Toronto,2023-05-26,2023-05-31,2023-05-31,284.8,1453.72,delivered
SH-00095,Sensor-L,DHL,Sao Paulo,Dubai,2023-05-08,2023-05-25,2023-06-01,247.2,416.0,delivered
SH-00096,Assembly-Z,FedEx,Shanghai,Los Angeles,2023-02-10,2023-02-26,2023-03-05,481.0,4182.25,delivered
SH-00097,Widget-A,UPS,Chicago,Dubai,2024-08-12,2024-09-02,2024-09-02,325.9,4581.62,delivered
SH-00098,Widget-B,Maersk,Berlin,Sydney,2023-07-05,2023-07-26,2023-07-26,167.0,3355.62,delivered
SH-00099,Assembly-Z,Blue Dart,Chicago,Toronto,2023-06-14,2023-06-27,2023-06-27,380.4,197.94,delivered
SH-00100,Widget-B,Maersk,London,Dubai,2023-04-01,2023-04-14,2023-04-14,412.6,20.74,delivered
SH-00101,Part-Y,USPS,Berlin,Dubai,2024-07-09,2024-07-26,2024-07-26,378.3,3132.66,delivered
SH-00102,Gadget-X,DHL,Chicago,Singapore,2023-02-22,2023-03-03,2023-03-03,242.6,158.91,in_transit
SH-00103,Gadget-X,DHL,Sao Paulo,New York,2024-10-07,2024-10-29,2024-11-08,276.3,479.65,delivered
SH-00104,Valve-M,Blue Dart,Berlin,Dubai,2023-04-27,2023-05-14,2023-05-14,352.9,2086.22,delivered
SH-00105,Gadget-X,Maersk,Mumbai,Dubai,2024-05-09,2024-05-27,2024-05-27,254.4,4398.44,delivered
SH-00106,Motor-K,USPS,Berlin,Toronto,2023-03-13,2023-03-24,2023-04-03,1.8,3634.36,delivered
SH-00107,Gadget-X,Maersk,Sao Paulo,Sydney,2024-08-24,2024-09-14,2024-09-19,172.9,2766.31,delivered
SH-00108,Part-Y,Blue Dart,Mumbai,Dubai,2024-07-10,2024-07-25,2024-07-26,191.8,4282.22,delivered
SH-00109,Sensor-L,Maersk,Tokyo,Toronto,2024-02-25,2024-02-29,2024-02-29,410.5,4904.38,delivered
SH-00110,Motor-K,FedEx,London,Toronto,2024-05-22,2024-05-26,2024-05-26,220.4,2636.87,in_transit
SH-00111,Sensor-L,Blue Dart,Mumbai,New York,2024-04-12,2024-04-15,2024-04-22,235.0,4846.48,delivered
SH-00112,Widget-B,DHL,London,Singapore,2023-12-13,2024-01-04,2024-01-11,429.7,1909.35,delivered
SH-00113,Widget-A,USPS,Shanghai,Los Angeles,2023-11-21,2023-12-14,2023-12-21,315.8,4605.83,delivered
SH-00114,Widget-B,Blue Dart,Tokyo,Toronto,2023-08-21,2023-09-16,2023-09-16,50.7,844.33,delivered
SH-00115,Widget-A,DHL,Berlin,London,2023-11-03,2023-11-06,2023-11-06,215.6,1232.32,delivered
SH-00116,Gadget-X,UPS,Shanghai,Dubai,2024-02-26,2024-03-18,2024-03-23,435.5,3104.26,delivered
SH-00117,Part-Y,Maersk,Tokyo,London,2023-09-04,2023-09-22,2023-09-25,230.1,3339.2,delivered
SH-00118,Gadget-X,FedEx,Chicago,London,2024-04-21,2024-05-03,2024-05-08,493.8,1506.28,in_transit
SH-00119,Assembly-Z,UPS,Chicago,Toronto,2024-03-10,2024-04-04,2024-04-04,241.9,1197.47,delivered
SH-00120,Assembly-Z,FedEx,London,Singapore,2024-08-08,2024-08-22,2024-08-25,198.2,55.37,delivered
SH-00121,Valve-M,DHL,London,Toronto,2024-12-03,2024-12-30,2025-01-06,115.4,4012.63,delivered
SH-00122,Assembly-Z,Blue Dart,London,Singapore,2023-08-13,2023-09-05,2023-09-05,383.9,3409.06,delayed
SH-00123,Assembly-Z,Maersk,Shanghai,Dubai,2023-05-21,2023-06-13,2023-06-13,182.7,670.09,delivered
